Epoch	AvgLoss	AvgDataLoss	AvgPhysLoss	Weight
000	0.709957	0.709957	28392.101076	0.0000
001	0.706133	0.706133	41810.808119	0.0000
002	0.704624	0.704624	21273.287020	0.0000
003	0.703983	0.703983	6268.572332	0.0000
004	0.702886	0.702886	4951.853390	0.0000
005	0.699206	0.699206	22385.555052	0.0000
006	0.693424	0.693424	168429.101356	0.0000
007	0.690998	0.690998	1712665.994564	0.0000
008	0.690323	0.690323	475405.059222	0.0000
009	0.689670	0.689670	188513.857774	0.0000
010	0.689076	0.689076	158928.038544	0.0000
011	0.688804	0.688804	27104.339997	0.0000
012	0.688493	0.688493	17099.328726	0.0000
013	0.688313	0.688313	32996.213357	0.0000
014	0.688062	0.688062	30884.963752	0.0000
015	0.687738	0.687738	71909.066239	0.0000
016	0.687258	0.687258	33753.831022	0.0000
017	0.686614	0.686614	168844.251228	0.0000
018	0.685876	0.685876	201555.042989	0.0000
019	0.684773	0.684773	198688.935596	0.0000
020	0.683783	0.683783	88840.109912	0.0000
021	0.683173	0.683173	76531.052504	0.0000
022	0.682143	0.682143	24938.406818	0.0000
023	0.682097	0.682097	27921.170500	0.0000
024	0.680906	0.680906	13919.811797	0.0000
025	0.679523	0.679523	118279.481118	0.0000
026	0.678168	0.678168	104098.435600	0.0000
027	0.677525	0.677525	56303.635946	0.0000
028	0.676934	0.676934	36241.496103	0.0000
029	0.675952	0.675952	20427.222644	0.0000
030	0.675742	0.675742	29709.663167	0.0000
031	0.675848	0.675848	16055.904688	0.0000
032	0.675308	0.675308	15922.756434	0.0000
033	0.674376	0.674376	14437.730090	0.0000
034	0.673962	0.673962	15215.937163	0.0000
035	0.673690	0.673690	20978.533246	0.0000
036	0.673745	0.673745	18230.139118	0.0000
037	0.673970	0.673970	15127.652138	0.0000
038	0.673731	0.673731	22148.584021	0.0000
039	0.673187	0.673187	23038.177945	0.0000
040	0.672709	0.672709	16394.084279	0.0000
041	0.672304	0.672304	22705.590911	0.0000
042	0.672044	0.672044	17923.416747	0.0000
043	0.672087	0.672087	18113.617876	0.0000
044	0.672225	0.672225	23465.260325	0.0000
045	0.671690	0.671690	19612.286439	0.0000
046	0.671301	0.671301	27908.480067	0.0000
047	0.670974	0.670974	17317.887169	0.0000
048	0.670730	0.670730	53561.197165	0.0000
049	0.670406	0.670406	17139.328684	0.0000
050	0.670048	0.670048	61470.623326	0.0000
051	0.669701	0.669701	14819.958675	0.0000
052	0.669170	0.669170	104554.886812	0.0000
053	0.668995	0.668995	77330.606655	0.0000
054	0.668849	0.668849	97217.504102	0.0000
055	0.669207	0.669207	47757.938499	0.0000
056	0.668990	0.668990	66979.630522	0.0000
057	0.668252	0.668252	20910.429181	0.0000
058	0.668311	0.668311	124028.298074	0.0000
059	0.668051	0.668051	37587.927048	0.0000
060	0.668189	0.668189	95680.831932	0.0000
061	0.668115	0.668115	75176.898512	0.0000
062	0.668048	0.668048	71502.098230	0.0000
063	0.667531	0.667531	68607.125799	0.0000
064	0.667556	0.667556	68342.762504	0.0000
065	0.667213	0.667213	71249.688446	0.0000
066	0.667115	0.667115	77549.942656	0.0000
067	0.666401	0.666401	112527.727897	0.0000
068	0.666241	0.666241	60106.177168	0.0000
069	0.666174	0.666174	92381.239266	0.0000
070	0.665499	0.665499	75123.071487	0.0000
071	0.665157	0.665157	80393.809955	0.0000
072	0.665536	0.665536	91457.691945	0.0000
073	0.665212	0.665212	79921.965902	0.0000
074	0.664627	0.664627	71426.350121	0.0000
075	0.664088	0.664088	132561.823232	0.0000
076	0.663911	0.663911	77376.468466	0.0000
077	0.662988	0.662988	74680.634895	0.0000
078	0.662532	0.662532	85695.143964	0.0000
079	0.662917	0.662917	312706.878053	0.0000
080	41250.687575	0.774357	41249.913219	1.0000
081	516.545158	0.845184	515.699975	1.0000
082	11.475678	0.899823	10.575855	1.0000
083	1.862297	1.022323	0.839974	1.0000
084	1.037183	0.901175	0.136008	1.0000
085	0.980203	0.896221	0.083982	1.0000
086	0.966527	0.885093	0.081434	1.0000
087	0.964096	0.883467	0.080629	1.0000
088	0.960279	0.884380	0.075899	1.0000
089	0.958225	0.881727	0.076498	1.0000
090	0.957087	0.881639	0.075449	1.0000
091	0.956560	0.880470	0.076090	1.0000
092	0.955108	0.877677	0.077431	1.0000
093	0.953795	0.876560	0.077235	1.0000
094	0.951968	0.873856	0.078113	1.0000
095	0.948225	0.874502	0.073723	1.0000
096	0.944588	0.870561	0.074027	1.0000
097	0.942140	0.866982	0.075158	1.0000
098	0.940470	0.870235	0.070236	1.0000
099	0.937284	0.864524	0.072760	1.0000
100	0.934120	0.862437	0.071682	1.0000
101	0.932992	0.862383	0.070609	1.0000
102	0.931508	0.859939	0.071569	1.0000
103	0.928293	0.858507	0.069787	1.0000
104	0.928097	0.859582	0.068515	1.0000
105	0.924590	0.856003	0.068587	1.0000
106	0.923675	0.855062	0.068613	1.0000
107	0.922580	0.854510	0.068070	1.0000
108	0.921739	0.852431	0.069308	1.0000
109	0.919787	0.852657	0.067130	1.0000
110	0.917234	0.848472	0.068762	1.0000
111	0.916285	0.847844	0.068441	1.0000
112	0.920024	0.847611	0.072413	1.0000
113	0.917761	0.846625	0.071136	1.0000
114	0.920513	0.851692	0.068821	1.0000
115	0.965502	0.848324	0.117177	1.0000
116	0.936328	0.842266	0.094062	1.0000
117	0.925991	0.841934	0.084057	1.0000
118	0.921747	0.843577	0.078171	1.0000
119	0.922478	0.844366	0.078111	1.0000
120	0.917786	0.844909	0.072877	1.0000
121	0.918385	0.838781	0.079604	1.0000
122	0.915406	0.841939	0.073467	1.0000
123	0.918187	0.839103	0.079084	1.0000
124	0.918487	0.842339	0.076147	1.0000
125	0.919111	0.837969	0.081141	1.0000
126	0.929864	0.840616	0.089248	1.0000
127	0.940726	0.838176	0.102550	1.0000
128	0.923051	0.841442	0.081609	1.0000
129	0.921896	0.838852	0.083044	1.0000
130	0.925727	0.844064	0.081663	1.0000
131	0.948333	0.837077	0.111256	1.0000
132	0.920701	0.844570	0.076131	1.0000
133	0.924612	0.838901	0.085711	1.0000
134	0.920214	0.842665	0.077549	1.0000
135	0.918843	0.840437	0.078406	1.0000
136	0.922715	0.844862	0.077853	1.0000
