Epoch	AvgLoss	AvgDataLoss	AvgPhysLoss	Weight
000	269695.907694	0.716189	269695.191505	1.0000
001	2721.476466	0.719070	2720.757396	1.0000
002	175.463942	0.729910	174.734032	1.0000
003	2.757214	0.994145	1.763069	1.0000
004	1.381459	1.282878	0.098581	1.0000
005	1.123930	0.881901	0.242028	1.0000
006	1.046050	0.939528	0.106523	1.0000
007	1.006964	0.925197	0.081768	1.0000
008	0.996991	0.907562	0.089429	1.0000
009	0.990151	0.929570	0.060581	1.0000
010	0.987069	0.897291	0.089778	1.0000
011	0.985339	0.918975	0.066364	1.0000
012	0.983665	0.905747	0.077919	1.0000
013	0.982386	0.910493	0.071894	1.0000
014	0.981605	0.911139	0.070466	1.0000
015	0.981267	0.905367	0.075900	1.0000
016	0.980881	0.911108	0.069773	1.0000
017	0.980480	0.906496	0.073983	1.0000
018	0.979987	0.908814	0.071173	1.0000
019	0.979290	0.907640	0.071650	1.0000
020	0.978253	0.906463	0.071790	1.0000
021	0.976444	0.906244	0.070200	1.0000
022	0.973295	0.902613	0.070682	1.0000
023	0.967893	0.900468	0.067424	1.0000
024	0.959719	0.894594	0.065125	1.0000
025	0.950747	0.889060	0.061687	1.0000
026	0.945275	0.883820	0.061455	1.0000
027	0.943874	0.883230	0.060644	1.0000
028	0.943875	0.881432	0.062443	1.0000
029	0.943781	0.881334	0.062446	1.0000
030	0.943527	0.881591	0.061936	1.0000
031	0.943238	0.881351	0.061888	1.0000
032	0.943024	0.882039	0.060985	1.0000
033	0.942948	0.881609	0.061338	1.0000
034	0.942953	0.882507	0.060446	1.0000
035	0.942952	0.881688	0.061264	1.0000
036	0.942910	0.881816	0.061094	1.0000
037	0.942882	0.882258	0.060624	1.0000
038	0.942884	0.880961	0.061923	1.0000
039	0.942892	0.882056	0.060836	1.0000
040	0.942859	0.881807	0.061052	1.0000
041	0.942859	0.881401	0.061458	1.0000
042	0.942841	0.882134	0.060707	1.0000
043	0.942828	0.881362	0.061466	1.0000
044	0.942822	0.881804	0.061017	1.0000
045	0.942812	0.881899	0.060913	1.0000
046	0.942807	0.881819	0.060988	1.0000
047	0.942796	0.881408	0.061388	1.0000
048	0.942796	0.881309	0.061487	1.0000
049	0.942808	0.882534	0.060274	1.0000
050	0.942813	0.881558	0.061255	1.0000
051	0.942762	0.881406	0.061356	1.0000
052	0.942770	0.882067	0.060703	1.0000
053	0.942768	0.881099	0.061669	1.0000
054	0.942754	0.881612	0.061142	1.0000
055	0.942733	0.881791	0.060942	1.0000
056	0.942719	0.881893	0.060826	1.0000
057	0.942718	0.881580	0.061138	1.0000
058	0.942712	0.881043	0.061670	1.0000
059	0.942709	0.882006	0.060704	1.0000
060	0.942697	0.882185	0.060512	1.0000
061	0.942692	0.881261	0.061431	1.0000
062	0.942661	0.881316	0.061345	1.0000
063	0.942657	0.881751	0.060906	1.0000
064	0.942646	0.881678	0.060968	1.0000
065	0.942633	0.881733	0.060900	1.0000
066	0.942621	0.881262	0.061359	1.0000
067	0.942620	0.881419	0.061201	1.0000
068	0.942596	0.881653	0.060943	1.0000
069	0.942581	0.881843	0.060738	1.0000
070	0.942571	0.881764	0.060808	1.0000
071	0.942543	0.881515	0.061028	1.0000
072	0.942498	0.880719	0.061779	1.0000
073	0.942500	0.881450	0.061050	1.0000
074	0.942448	0.882446	0.060001	1.0000
075	0.942410	0.881637	0.060773	1.0000
076	0.942319	0.880333	0.061986	1.0000
077	0.942289	0.881655	0.060634	1.0000
078	0.942172	0.881672	0.060500	1.0000
079	0.942068	0.881327	0.060741	1.0000
080	0.941954	0.881211	0.060743	1.0000
081	0.941814	0.880704	0.061110	1.0000
082	0.941658	0.880791	0.060867	1.0000
083	0.941453	0.881281	0.060172	1.0000
084	0.941195	0.881135	0.060060	1.0000
085	0.940864	0.880141	0.060723	1.0000
086	0.940480	0.879945	0.060536	1.0000
087	0.939945	0.880100	0.059845	1.0000
088	0.939180	0.879346	0.059833	1.0000
089	0.938027	0.878771	0.059257	1.0000
090	0.936760	0.878103	0.058656	1.0000
091	0.935006	0.876303	0.058703	1.0000
092	0.933861	0.875400	0.058461	1.0000
093	0.932887	0.876060	0.056827	1.0000
094	0.932690	0.874420	0.058269	1.0000
095	0.933315	0.873725	0.059590	1.0000
096	0.933669	0.876793	0.056876	1.0000
097	0.933191	0.874899	0.058293	1.0000
098	0.932642	0.875130	0.057512	1.0000
099	0.931271	0.873761	0.057511	1.0000
100	0.930429	0.875789	0.054640	1.0000
101	0.931992	0.871495	0.060497	1.0000
102	0.930659	0.876908	0.053751	1.0000
103	0.930710	0.871142	0.059568	1.0000
104	0.931081	0.876070	0.055010	1.0000
105	0.931050	0.872934	0.058116	1.0000
106	0.930741	0.877437	0.053304	1.0000
107	0.929863	0.872885	0.056979	1.0000
108	0.928964	0.874676	0.054288	1.0000
109	0.928386	0.873407	0.054979	1.0000
110	0.929011	0.873783	0.055228	1.0000
111	0.930504	0.874127	0.056377	1.0000
112	0.930980	0.876237	0.054743	1.0000
113	0.931193	0.875591	0.055603	1.0000
114	0.931403	0.873992	0.057412	1.0000
115	0.932040	0.876209	0.055832	1.0000
116	0.933707	0.875990	0.057717	1.0000
117	0.933281	0.873878	0.059404	1.0000
118	0.933245	0.875866	0.057378	1.0000
119	0.932713	0.877026	0.055687	1.0000
120	0.933103	0.873689	0.059414	1.0000
121	0.933107	0.874456	0.058651	1.0000
122	0.934215	0.877080	0.057134	1.0000
123	0.933916	0.875641	0.058275	1.0000
124	0.933508	0.875088	0.058420	1.0000
125	0.932532	0.876708	0.055824	1.0000
126	0.932500	0.873519	0.058981	1.0000
