Epoch	AvgLoss	AvgDataLoss	AvgPhysLoss	Weight
000	90.837850	0.712864	9012.498620	0.0100
001	5.695930	0.715566	498.036313	0.0100
002	0.973388	0.750761	22.262651	0.0100
003	0.819628	0.810444	0.918329	0.0100
004	0.788311	0.749983	3.832800	0.0100
005	0.782804	0.752141	3.066224	0.0100
006	0.780654	0.766235	1.441868	0.0100
007	0.777921	0.761405	1.651641	0.0100
008	0.776344	0.752814	2.353040	0.0100
009	0.775902	0.751788	2.411362	0.0100
010	0.775078	0.755061	2.001723	0.0100
011	0.774656	0.755996	1.866006	0.0100
012	0.774031	0.753507	2.052380	0.0100
013	0.773632	0.751785	2.184764	0.0100
014	0.773164	0.752369	2.079512	0.0100
015	0.772763	0.752973	1.978964	0.0100
016	0.772314	0.752104	2.020956	0.0100
017	0.771828	0.750946	2.088196	0.0100
018	0.771265	0.750811	2.045384	0.0100
019	0.770660	0.750624	2.003548	0.0100
020	0.769954	0.749609	2.034512	0.0100
021	0.769247	0.748976	2.027077	0.0100
022	0.768845	0.748597	2.024804	0.0100
023	0.768455	0.748044	2.041036	0.0100
024	0.768140	0.747887	2.025341	0.0100
025	0.767982	0.747739	2.024288	0.0100
026	0.767890	0.747471	2.041882	0.0100
027	0.767806	0.747214	2.059271	0.0100
028	0.767749	0.747475	2.027406	0.0100
029	0.767677	0.746918	2.075919	0.0100
030	0.767626	0.747195	2.043023	0.0100
031	0.767558	0.747052	2.050668	0.0100
032	0.767485	0.746874	2.061149	0.0100
033	0.767415	0.746948	2.046698	0.0100
034	0.767337	0.746897	2.043944	0.0100
035	0.767238	0.746617	2.062135	0.0100
036	0.767153	0.746662	2.049090	0.0100
037	0.767058	0.746571	2.048749	0.0100
038	0.766962	0.746514	2.044828	0.0100
039	0.766856	0.746175	2.068089	0.0100
040	0.766731	0.746098	2.063305	0.0100
041	0.766561	0.746145	2.041647	0.0100
042	0.766293	0.745805	2.048825	0.0100
043	0.765941	0.745610	2.033088	0.0100
044	0.765394	0.745061	2.033359	0.0100
045	0.764591	0.744575	2.001581	0.0100
046	0.763618	0.743236	2.038261	0.0100
047	0.762578	0.742570	2.000777	0.0100
048	0.761340	0.740912	2.042830	0.0100
049	0.759524	0.738690	2.083401	0.0100
050	0.756460	0.735381	2.107920	0.0100
051	0.751961	0.731279	2.068267	0.0100
052	0.744725	0.723854	2.087091	0.0100
053	0.740554	0.721206	1.934725	0.0100
054	0.740411	0.721242	1.916873	0.0100
055	0.738505	0.719364	1.914129	0.0100
056	0.736622	0.717662	1.896027	0.0100
057	0.735681	0.716696	1.898481	0.0100
058	0.734539	0.715853	1.868608	0.0100
059	0.733293	0.714527	1.876564	0.0100
060	0.731802	0.713138	1.866363	0.0100
061	0.731182	0.712082	1.910015	0.0100
062	0.730222	0.711470	1.875162	0.0100
063	0.730223	0.711366	1.885724	0.0100
064	0.729292	0.710507	1.878456	0.0100
065	0.729625	0.710480	1.914412	0.0100
066	0.728682	0.710270	1.841223	0.0100
067	0.727790	0.709039	1.875066	0.0100
068	0.726851	0.708085	1.876610	0.0100
069	0.726480	0.708036	1.844402	0.0100
070	0.725625	0.707162	1.846333	0.0100
071	0.724881	0.706184	1.869680	0.0100
072	0.723717	0.705109	1.860856	0.0100
073	0.723007	0.704546	1.846132	0.0100
074	0.722431	0.703975	1.845653	0.0100
075	0.721915	0.703678	1.823694	0.0100
076	0.720972	0.702978	1.799378	0.0100
077	0.720425	0.702157	1.826829	0.0100
078	0.719679	0.701688	1.799093	0.0100
079	0.719195	0.700974	1.822144	0.0100
080	0.718209	0.700104	1.810448	0.0100
081	0.717576	0.699788	1.778817	0.0100
082	0.717254	0.699660	1.759456	0.0100
083	0.716820	0.698901	1.791901	0.0100
084	0.715819	0.698229	1.758966	0.0100
085	0.715186	0.697161	1.802475	0.0100
086	0.715796	0.697698	1.809785	0.0100
087	0.714086	0.695959	1.812741	0.0100
088	0.834076	0.697957	13.611900	0.0100
089	0.731589	0.711844	1.974522	0.0100
090	0.726389	0.706763	1.962588	0.0100
091	0.721511	0.703059	1.845208	0.0100
092	0.718013	0.698553	1.946008	0.0100
093	0.717420	0.698121	1.929911	0.0100
094	0.715476	0.697628	1.784765	0.0100
095	0.714027	0.696265	1.776168	0.0100
096	0.713266	0.694819	1.844673	0.0100
097	0.711948	0.694257	1.769133	0.0100
098	0.711133	0.694013	1.712006	0.0100
099	0.710135	0.692472	1.766348	0.0100
100	0.709276	0.691825	1.745120	0.0100
101	0.708870	0.691715	1.715553	0.0100
102	0.708286	0.690908	1.737743	0.0100
103	0.707137	0.690149	1.698845	0.0100
104	0.706958	0.690020	1.693797	0.0100
105	0.706875	0.689626	1.724933	0.0100
106	0.705731	0.688726	1.700502	0.0100
107	0.704815	0.687704	1.711087	0.0100
108	0.703997	0.686921	1.707650	0.0100
109	0.704120	0.687107	1.701327	0.0100
110	0.702796	0.686239	1.655735	0.0100
111	0.702093	0.685443	1.665001	0.0100
112	0.701760	0.684847	1.691272	0.0100
113	0.701064	0.684296	1.676805	0.0100
114	0.703198	0.686108	1.708998	0.0100
115	0.700664	0.684064	1.660042	0.0100
116	0.699440	0.682908	1.653146	0.0100
117	0.699321	0.682649	1.667239	0.0100
118	0.697950	0.681162	1.678784	0.0100
119	0.698443	0.681888	1.655559	0.0100
120	0.700114	0.683341	1.677306	0.0100
121	0.699689	0.682709	1.697987	0.0100
122	0.695642	0.679110	1.653282	0.0100
123	0.694564	0.678168	1.639631	0.0100
124	0.694510	0.677958	1.655210	0.0100
125	0.693598	0.677153	1.644561	0.0100
126	0.695637	0.679028	1.660887	0.0100
127	0.695257	0.678362	1.689538	0.0100
128	0.697030	0.679738	1.729127	0.0100
129	0.696830	0.679329	1.750169	0.0100
130	0.692927	0.676359	1.656777	0.0100
131	0.692461	0.675836	1.662578	0.0100
132	0.690667	0.674015	1.665131	0.0100
133	0.688881	0.672330	1.655088	0.0100
134	0.688830	0.672471	1.635949	0.0100
135	0.689263	0.672037	1.722635	0.0100
136	0.689149	0.672542	1.660738	0.0100
137	0.690436	0.673506	1.692937	0.0100
138	0.691923	0.674638	1.728483	0.0100
139	0.692567	0.675155	1.741125	0.0100
140	0.690751	0.673790	1.696069	0.0100
141	0.688271	0.671191	1.708051	0.0100
142	0.686860	0.669603	1.725691	0.0100
143	0.686192	0.669479	1.671325	0.0100
144	0.685316	0.668455	1.686136	0.0100
145	0.684896	0.668227	1.666859	0.0100
146	0.686317	0.668793	1.752332	0.0100
147	0.695815	0.677351	1.846438	0.0100
148	0.695862	0.679380	1.648168	0.0100
149	0.689731	0.672288	1.744300	0.0100
150	0.686779	0.669827	1.695282	0.0100
151	0.684254	0.667379	1.687524	0.0100
152	0.682993	0.666300	1.669377	0.0100
153	0.683147	0.665810	1.733735	0.0100
154	0.683627	0.666399	1.722725	0.0100
155	0.686495	0.668461	1.803433	0.0100
156	0.688741	0.670952	1.778940	0.0100
157	0.683780	0.666990	1.678995	0.0100
158	0.688240	0.671379	1.686121	0.0100
159	0.685163	0.666385	1.877879	0.0100
160	0.685123	0.668445	1.667789	0.0100
161	0.685794	0.669031	1.676286	0.0100
162	0.683675	0.666402	1.727263	0.0100
163	0.683759	0.666342	1.741642	0.0100
164	0.679196	0.662324	1.687225	0.0100
165	0.679100	0.661744	1.735641	0.0100
166	0.677786	0.661096	1.668941	0.0100
167	0.676802	0.659627	1.717480	0.0100
168	0.677126	0.659866	1.726011	0.0100
169	0.675966	0.659097	1.686850	0.0100
170	0.676070	0.658645	1.742504	0.0100
171	0.677399	0.660391	1.700795	0.0100
172	0.675722	0.657643	1.807906	0.0100
173	0.677505	0.660283	1.722150	0.0100
174	0.678737	0.661396	1.734099	0.0100
175	0.684058	0.666496	1.756201	0.0100
176	0.681143	0.664141	1.700194	0.0100
177	0.686609	0.668573	1.803522	0.0100
178	0.687428	0.669995	1.743292	0.0100
179	0.681241	0.663353	1.788780	0.0100
180	0.680455	0.663017	1.743795	0.0100
181	0.684076	0.666827	1.724838	0.0100
182	0.679132	0.660829	1.830234	0.0100
183	0.684420	0.667193	1.722673	0.0100
184	0.690490	0.671076	1.941421	0.0100
185	0.685983	0.666473	1.950959	0.0100
186	0.688349	0.674284	1.406534	0.0100
187	0.678407	0.660043	1.836334	0.0100
188	0.678510	0.660569	1.794104	0.0100
189	0.677559	0.659918	1.764089	0.0100
190	0.678053	0.660554	1.749866	0.0100
191	0.671220	0.654267	1.695276	0.0100
192	0.672588	0.655337	1.725127	0.0100
193	0.675074	0.657085	1.798967	0.0100
194	0.676656	0.659819	1.683684	0.0100
195	0.676828	0.659227	1.760159	0.0100
196	0.676158	0.658832	1.732617	0.0100
197	0.678433	0.660568	1.786547	0.0100
198	0.674235	0.657182	1.705277	0.0100
199	0.683976	0.664604	1.937128	0.0100
